indicator_code,indicator_name,description,category,source,is_active,introduced_at,update_frequency_days,last_updated_at,update_policy_comment,description_full
atr_14,ATR 14,Zmienność rzeczywista 14 dni,risk,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Średnia rzeczywista zmienność z 14 sesji (Average True Range)
average_volume_20d,Average Volume 20d,Średni wolumen 20 dni,volume_indicator,calculated,True,2026-01-16,1,2025-12-31,Aktualizacja dzienna,Średni wolumen obrotu z ostatnich 20 sesji
earnings_yield,Earnings Yield,Odwrotność wskaźnika P/E,fundamental,calculated,True,2026-01-12,1,2025-12-31,Aktualizacja dzienna,Odwrotność wskaźnika P/E (zysk do ceny)
ema_12,EMA 12,EMA 12,trend_short_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 12 sesji. Wskaźnik długoterminowego trendu; wartości początkowe zależą od historii (warm-up).
ema_20,EMA 20,EMA 20,trend_short_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 20 sesji. Wskaźnik średnioterminowego trendu; wartości początkowe zależą od historii (warm-up).
ema_200,EMA 200,EMA 200,trend_long_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 200 sesji. Wskaźnik długoterminowego trendu; wartości początkowe zależą od historii (warm-up).
ema_26,EMA 26,EMA 26,trend_mid_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 26 sesji. Wskaźnik długoterminowego trendu; wartości początkowe zależą od historii (warm-up).
ema_50,EMA 50,EMA 50,trend_mid_term,calculated,True,2026-01-14,1,2025-12-31,Aktualizacja dzienna,Wykładnicza średnia krocząca z 50 sesji. Wskaźnik średnioterminowego trendu; wartości początkowe zależą od historii (warm-up).
fut_barrier_100p_50p_20d,Fut. Barrier +100% / -50% (20D),Czy kurs w ciągu 20 sesji najpierw wzrośnie o 100% czy spadnie o 50%,future_barrier_short_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+20 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_20p_12p_20d,Fut. Barrier +20% / -12% (20D),Czy kurs w ciągu 20 sesji najpierw wzrośnie o 20% czy spadnie o 12%,future_barrier_short_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+20 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_20p_12p_2d,Fut. Barrier +20% / -12% (2D),Czy kurs w ciągu 2 sesji najpierw wzrośnie o 20% czy spadnie o 12%,future_barrier_very_short_term,calculated,True,2026-01-21,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+2 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_20p_12p_60d,Fut. Barrier +20% / -12% (60D),Czy kurs w ciągu 60 sesji najpierw wzrośnie o 20% czy spadnie o 12%,future_barrier_mid_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+60 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
fut_barrier_50p_20p_120d,Fut. Barrier +50% / -20% (120D),Czy kurs w ciągu 120 sesji najpierw wzrośnie o 50% czy spadnie o 20%,future_barrier_long_term,calculated,True,2026-01-20,1,2025-12-31,Aktualizacja dzienna,"Wskaźnik typu FUTURE służący do etykietowania danych historycznych: analizuje pierwsze zdarzenie w oknie t+1..t+120 na podstawie close-only. Zwraca +1, -1, 0 lub NULL/NaN gdy brak pełnego horyzontu."
